town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
New Cairo City,North Teseen St.,13,52000000.0,94252.8735632184,2
New Cairo City,Park View,13,13500000.0,66502.46305418719,1
Hurghada,Red Hills by Enza,12,7436800.0,86679.50974109203,1
New Capital City,Midtown Sky,12,7824769.5,36504.27142857143,2
New Cairo City,North House,12,4156000.0,25121.11801242236,1
New Cairo City,La Nuova Vista,12,26950000.0,63421.926910299,2
Mostakbal City - Future City,Unknown,12,7465440.0,42962.00046200046,5
Nasr City,Landmark,12,2000000.0,25212.5,1
Sheikh Zayed City,Zayed Regency,12,5850000.0,30131.25,1
6 October City,Jedar,12,16500000.0,59801.4888337469,3
New Cairo City,District 5,12,7050000.0,31503.75939849624,2
Sheikh Zayed City,Cairo University Compound,12,4500000.0,24276.983520681002,1
Al Agouza,Unknown,12,5600000.0,29537.82794386821,1
Al Ain Al Sokhna,La Vista Gardens,12,8000000.0,71590.90909090909,2
New Capital City,Stau,12,3958000.0,25085.238095238095,1
6 October City,Bamboo Palm Hills,12,12145000.0,72683.58643644684,4
Sheikh Zayed City,Valea,12,6622000.0,45000.0,1
Sheikh Zayed City,U One,12,4975000.0,27146.028246230857,1
Mostakbal City - Future City,Neopolis   Wadi Degla,12,4362500.0,23550.98389982111,2
Sheikh Zayed City,Beit Al Watan,12,5640000.0,30000.0,2
6 October City,Evergreen,12,16000000.0,62745.098039215685,3
El Nozha,Aljar Sheraton,11,9226880.0,82320.0,1
New Capital City,Canyon 8,11,6712000.0,45046.97986577181,3
Sheikh Zayed City,Janna 1,11,5600000.0,42857.142857142855,1
6 October City,Bait Al Watan Al Takmely,11,4140000.0,20000.0,1
6 October City,NMQ,11,12220000.0,69565.21739130435,3
New Capital City,La Verde Casette,11,4065000.0,38714.28571428572,1
Sheikh Zayed City,Forty West,11,10000000.0,101744.18604651163,2
Sheikh Zayed City,Al Karma 4,11,6950000.0,39936.10223642173,3
New Cairo City,Area B,11,8500000.0,40000.0,2
6 October City,Ashgar City,11,4578000.0,36661.11111111111,1
Mostakbal City - Future City,Zizinia Al Mostakbal,11,4410000.0,36764.705882352944,1
New Cairo City,The Water Way,11,21000000.0,102941.17647058824,2
New Cairo City,Najm,11,6168600.0,45693.333333333336,1
Sheikh Zayed City,Green Residence 2,11,4650000.0,24489.79591836735,2
Mostakbal City - Future City,Beta Greens,11,5780000.0,45433.07086614173,1
Sheikh Zayed City,Coy,11,5000000.0,24489.79591836735,1
Sheikh Zayed City,La Colina,10,4575000.0,29573.674393818277,1
New Cairo City,New Lotus,10,6000000.0,28277.81269641735,2
Sheikh Zayed City,Bliss Gate,10,4300000.0,24744.897959183676,1
New Cairo City,Al Patio 1,10,30000000.0,56079.66457023061,3
New Capital City,Ray Residence,10,4898317.5,25416.97619047619,2
New Capital City,Armonia,10,5486000.0,32444.444444444445,1
New Capital City,Oia,10,9795750.0,51500.0,1
New Capital City,Bleu Vert,10,6025000.0,42901.17416829745,1
El Khalifa,Uptown Cairo Road,10,29500000.0,107309.74632843792,3
El Nozha,El Saaqah St.,10,6198400.0,35878.25210084034,2
New Obour City,Unknown,10,3153584.0,19860.28323699422,1
6 October City,Al Nawadi St,10,3271011.0,26203.515652356607,2
Mokattam,Aurora,10,16400000.0,90404.65046051638,1
Hurghada,La Gouna Resort,10,1772917.0,37367.53191489362,1
6 October City,Dream Land,9,5500000.0,34565.217391304344,3
Mokattam,Celesta Hills,9,53000000.0,129411.76470588235,3
Cairo Alexandria Desert Road,Unknown,9,11000000.0,41212.121212121216,4
6 October City,Garden Hills,9,3800000.0,26923.076923076922,1
Hurghada,Marine Sports Club,9,3276000.0,52000.0,1
Sheikh Zayed City,Green 3,9,6000000.0,28508.77192982456,2
Ras Sedr,Unknown,9,4850000.0,40416.666666666664,4
Hay Sharq,Kafr Abdo,9,6000000.0,41379.31034482759,1
6 October City,Kite Residence,9,5600000.0,38757.062146892655,1
Sheikh Zayed City,Key Of Greens,9,18123867.0,61856.20136518771,3
New Cairo City,La Terra,9,22000000.0,50000.0,4
New Cairo City,Villar,9,64000000.0,47689.28220255654,1
New Cairo City,Moon Valley,9,20000000.0,57142.857142857145,3
Shorouk City,Unknown,9,4750000.0,17894.736842105263,1
Sheikh Zayed City,Al Karma Gates,9,13000000.0,55319.14893617021,2
6 October City,Green 5,8,7500000.0,40116.84518013632,1
6 October City,Club Hills,8,8069360.5,47627.19298245614,3
Hay El Maadi,El Mearag City,8,4500000.0,29047.769693135084,1
Sheikh Zayed City,Zayed Crystals Park,8,16205000.0,117077.83164844234,4
Mokattam,Alba Spendia,8,69500000.0,171815.14510741318,1
6 October City,Degla Palms,8,1425000.0,22029.41176470588,1
Mokattam,Eleva,8,30000000.0,106259.60061443932,1
New Capital City,Midtown Condo,8,4809615.0,28175.822344322347,1
Al Alamein,Villar,8,4045000.0,55000.0,2
New Capital City,Celia,8,14826625.0,81776.37252083933,2
Heliopolis - Masr El Gedida,Unknown,8,8750000.0,41794.857142857145,3
Hurghada,Scandic Resort,8,6005009.5,84082.94141449683,2
6 October City,Hadaba,8,9000000.0,44407.89473684211,4
Sheikh Zayed City,Rovan,8,4575000.0,24009.603841536613,1
Shorouk City,4th Neighborhood,8,3197500.0,18255.102040816324,2
Sheikh Zayed City,Rawdat Zayed,8,4250000.0,24009.603841536613,1
Sheikh Zayed City,Novella,8,8000000.0,103903.11418685122,2
Al Alamein,Marina 8,8,4771000.0,39210.0,3
Hay Sharq,Al Geish Road,8,7900000.0,32858.29307568438,1
New Cairo City,Rehab City First Phase,8,14000000.0,83712.12121212122,4
